Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex (field),Sex (final),Sex Source,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin,Final Origin,Field Origin,Origin Source
64,3DD.003DA28959,Hat. Summer Steelhead,32H,Mark,610,NA,AD MA RF,NA,7/26/2021 11:22,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 11:22,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-2,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
65,3DD.003DA2892E,Hat. Summer Steelhead,32H,Mark,540,NA,AD CW FE RF,NA,7/26/2021 12:23,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 12:23,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,17-3,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.1,H,H,H,NA
66,3DD.003DA2895F,Wild Summer Steelhead,32W,Mark,670,NA,AI FE RF,NA,7/26/2021 13:31,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 13:31,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-4,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
67,3DD.003DA28938,Hat. Summer Steelhead,32H,Mark,680,NA,AD FE RF,Injury - Snout,7/26/2021 13:33,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 13:33,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-5,X,NA,NA,Passed,Female,NA,NA,Maiden,X,HW,NA,R.2,H,H,H,NA
68,3DD.003DA2896A,Wild Summer Steelhead,32W,Mark,580,NA,AI FE RF,Injury - Anal,7/28/2021 6:32,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 6:32,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,SS,NA,R.1,W,W,W,NA
69,3DD.003DA2893B,Hat. Summer Steelhead,32H,Mark,710,NA,AD FE RF,NA,7/28/2021 6:35,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 6:35,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-2,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
70,3DD.003DA2891E,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/28/2021 7:09,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 7:09,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-3,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
71,3DD.003DA28945,Wild Summer Steelhead,32W,Mark,740,NA,AI MA RF,NA,7/28/2021 8:27,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 8:27,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-4,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,R.2,W,W,W,NA
72,3DD.003DA28946,Wild Summer Steelhead,32W,Mark,670,NA,AI FE RF,Injury-Body,7/28/2021 9:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 9:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-5,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,GN,NA,W1.2,W,W,W,NA
73,3DD.003DA2896E,Wild Summer Steelhead,32W,Mark,530,NA,AI FE RF,NA,7/28/2021 12:43,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 12:43,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-6,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
74,3DD.003DA28950,Hat. Summer Steelhead,32H,Mark,560,NA,AD MA RF,NA,7/28/2021 12:45,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/28/2021 12:45,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-1,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
75,3DD.003DA28948,Hat. Summer Steelhead,32H,Mark,650,NA,AD FE RF,NA,7/30/2021 6:15,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 6:15,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
76,3DD.003DA2894D,Wild Summer Steelhead,32W,Mark,690,NA,AI FE RF,NA,7/30/2021 7:27,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 7:27,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
77,3DD.003DA28956,Wild Summer Steelhead,32W,Mark,690,NA,AI MA RF,NA,7/30/2021 7:48,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 7:48,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-3,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
78,3DD.003DA2893F,Wild Summer Steelhead,32W,Mark,760,NA,AI FE RF,NA,7/30/2021 8:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 8:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-4,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
79,3DD.003DA2895C,Hat. Summer Steelhead,32H,Mark,650,NA,AD FE RF,NA,7/30/2021 9:08,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 9:08,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-5,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,1.2,H,H,H,NA
80,3DD.003DA28923,Wild Summer Steelhead,32W,Mark,730,NA,AI FE RF,NA,7/30/2021 10:12,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 10:12,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-6,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
81,3DD.003DA28926,Wild Summer Steelhead,32W,Mark,750,NA,AI FE RF,NA,7/30/2021 11:49,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 11:49,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
82,3DD.003DA2896F,Hat. Summer Steelhead,32H,Mark,620,NA,AD MA RF,NA,7/30/2021 12:52,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/30/2021 12:52,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-2,X,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,1.1,H,H,H,NA
83,3DD.003DA28957,Hat. Summer Steelhead,32H,Mark,690,NA,AD FE RF,NA,8/2/2021 6:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 6:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
84,3DD.003DA2896C,Wild Summer Steelhead,32W,Mark,540,NA,AI FE RF,NA,8/2/2021 6:39,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 6:39,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
85,3DD.003DA28951,Hat. Summer Steelhead,32H,Mark,650,NA,AD FE RF,NA,8/2/2021 7:08,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 7:08,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-3,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,1.2,H,H,H,NA
86,3DD.003DA28966,Wild Summer Steelhead,32W,Mark,570,NA,AI FE RF,NA,8/2/2021 7:35,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 7:35,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-4,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
87,3DD.003DA28925,Wild Summer Steelhead,32W,Mark,580,NA,AI FE RF,NA,8/2/2021 8:34,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 8:34,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-5,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
88,3DD.003DA2891F,Wild Summer Steelhead,32W,Mark,670,NA,AI MA RF,NA,8/2/2021 12:20,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 12:20,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-6,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
89,3DD.003DA28927,Wild Summer Steelhead,32W,Mark,590,NA,AI FE RF,NA,8/2/2021 12:41,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 12:41,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,3.1,W,W,W,NA
90,3DD.003DA2892A,Wild Summer Steelhead,32W,Mark,570,NA,AI FE RF,NA,8/2/2021 12:46,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/2/2021 12:46,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
91,3DD.003DA2890D,Hat. Summer Steelhead,32H,Mark,650,NA,AD FE RF RV,NA,8/4/2021 6:04,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 6:04,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-1,X,X,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
92,3DD.003DA2893E,Wild Summer Steelhead,32W,Mark,610,NA,AI FE RF,NA,8/4/2021 7:30,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 7:30,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
93,3DD.003DA28969,Wild Summer Steelhead,32W,Mark,510,NA,AI FE RF,NA,8/4/2021 10:39,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 10:39,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-3,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
94,3DD.003DA2895A,Hat. Summer Steelhead,32H,Mark,560,NA,AI CW FE RF,NA,8/4/2021 10:53,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 10:53,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,24-4,NA,NA,NA,Passed,Female,Male,Wen Broodstock,Maiden,X,NA,NA,1.1,H,H,H,NA
95,3DD.003DA28955,Wild Summer Steelhead,32W,Mark,530,NA,AI MA RF,NA,8/4/2021 11:07,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 11:07,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-5,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,W1.1,W,W,W,NA
96,3DD.003DA28913,Wild Summer Steelhead,32W,Mark,610,NA,AI FE RF,NA,8/4/2021 11:55,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 11:55,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24-6,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
97,3DD.003DA28958,Hat. Summer Steelhead,32H,Mark,690,NA,AD FE RF,Injury-Body,8/4/2021 12:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 12:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,GN,NA,1.2,H,H,H,NA
98,3DD.003DA2893D,Wild Summer Steelhead,32W,Mark,800,NA,AI FE RF,NA,8/4/2021 13:30,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 13:30,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
99,3DD.003DA28941,Hat. Summer Steelhead,32H,Mark,730,NA,AD FE RF,NA,8/4/2021 13:54,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/4/2021 13:54,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-3,X,NA,NA,Passed,Female,Female,Wells Broodstock,Maiden,NA,NA,NA,1.2,H,H,H,NA
100,3DD.003DA28916,Wild Summer Steelhead,32W,Mark,560,NA,AI FE RF,NA,8/5/2021 6:31,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 6:31,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
101,3DD.003DA28919,Wild Summer Steelhead,32W,Mark,580,NA,AI FE RF,NA,8/5/2021 7:25,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 7:25,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
102,3DD.003DA28A9A,Hat. Summer Steelhead,32H,Mark,650,NA,AD FE RF,NA,8/5/2021 9:20,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 9:20,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-3,X,NA,NA,Passed,Female,NA,NA,Maiden,X,SS,NA,1.2,H,H,H,NA
103,3DD.003DA28A78,Hat. Summer Steelhead,32H,Mark,750,NA,AD FE RF,NA,8/5/2021 9:24,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 9:24,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-4,X,NA,NA,Passed,Female,NA,NA,Maiden,X,HW,NA,H2.2,H,H,H,NA
104,3DD.003DA28A5C,Hat. Summer Steelhead,32H,Mark,550,NA,AD FE RF,NA,8/5/2021 9:27,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 9:27,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-5,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
105,3DD.003DA28A52,Hat. Summer Steelhead,32H,Mark,660,NA,AD FE RF,NA,8/5/2021 10:56,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 10:56,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-6,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
106,3DD.003DA28A6C,Wild Summer Steelhead,32W,Mark,600,NA,AI FE RF,NA,8/5/2021 14:17,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/5/2021 14:17,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
107,3DD.003DA28A3F,Hat. Summer Steelhead,32H,Mark,540,NA,AD FE RF,NA,8/9/2021 6:16,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/9/2021 6:16,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
108,3DD.003DA28A8A,Hat. Summer Steelhead,32H,Mark,740,NA,AD MA RF,NA,8/9/2021 8:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/9/2021 8:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-2,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
109,3DD.003DA28A68,Wild Summer Steelhead,32W,Mark,530,NA,AI FE RF,NA,8/9/2021 11:55,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/9/2021 11:55,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-3,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
110,3DD.003DA28A70,Wild Summer Steelhead,32W,Mark,660,NA,AI MA RF,NA,8/9/2021 13:55,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/9/2021 13:55,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-4,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
111,3DD.003DA28A62,Hat. Summer Steelhead,32H,Mark,580,NA,AI CW MA RF,NA,8/12/2021 6:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 6:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,29-1,NA,NA,NA,Passed,Male,Male,Wen Broodstock,Maiden,X,NA,NA,1.1,H,H,H,NA
112,3DD.003DA28A97,Hat. Summer Steelhead,32H,Mark,590,NA,AD FE RF,NA,8/12/2021 6:36,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 6:36,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-2,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
113,3DD.003DA28A99,Hat. Summer Steelhead,32H,Mark,640,NA,AD FE RF RV,NA,8/12/2021 6:40,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 6:40,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-3,X,X,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
114,3DD.003DA28A92,Hat. Summer Steelhead,32H,Mark,740,NA,AD FE RF,NA,8/12/2021 8:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 8:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-4,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
115,3DD.003DA28A77,Hat. Summer Steelhead,32H,Mark,670,NA,AD FE RF,NA,8/12/2021 8:19,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 8:19,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-5,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
116,3DD.003DA28A56,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,8/12/2021 10:59,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 10:59,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-6,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,H2.2,H,H,H,NA
117,3DD.003DA28A61,Wild Summer Steelhead,32W,Mark,570,NA,AI MA RF,NA,8/12/2021 12:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/12/2021 12:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-1,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
118,3DD.003DA28A80,Hat. Summer Steelhead,32H,Mark,590,NA,AD FE RF,NA,8/13/2021 6:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/13/2021 6:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
119,3DD.003DA28A40,Hat. Summer Steelhead,32H,Mark,530,NA,AD FE RF,NA,8/13/2021 7:33,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/13/2021 7:33,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-2,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
120,3DD.003DA28A6B,Hat. Summer Steelhead,32H,Mark,690,NA,AD FE RF,NA,8/13/2021 11:49,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/13/2021 11:49,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-3,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
121,3DD.003D8756F8,Hat. Summer Steelhead,32H,Recapture,560,NA,AD MA RE RF,This is a recap!!!!,8/16/2021 6:02,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 6:02,ECKENBERG J,CPUD,LADDER,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-1,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,H2.1,H,H,H,NA
122,3DD.003DA28A44,Wild Summer Steelhead,32W,Mark,580,NA,AI FE RF,NA,8/16/2021 6:22,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 6:22,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
123,3DD.003DA28A6E,Hat. Summer Steelhead,32H,Mark,560,NA,AD FE RF,NA,8/16/2021 7:35,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 7:35,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-3,X,NA,NA,Passed,Female,Male,Wells Broodstock,Maiden,X,NA,NA,1.1,H,H,H,NA
124,3DD.003DA28A3E,Hat. Summer Steelhead,32H,Mark,550,NA,AD FE RF,NA,8/16/2021 7:42,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 7:42,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-4,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
125,3DD.003DA28A4C,Hat. Summer Steelhead,32H,Mark,660,NA,AD FE RF,Injury-Body,8/16/2021 7:44,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 7:44,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-5,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
126,3DD.003DA28A5B,Hat. Summer Steelhead,32H,Mark,610,NA,AD FE RF,NA,8/16/2021 8:16,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 8:16,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,32-6,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,1.1,H,H,H,NA
127,3DD.003DA28A50,Hat. Summer Steelhead,32H,Mark,750,NA,AD FE RF,NA,8/16/2021 11:47,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 11:47,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,33-1,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,GN,NA,1.2,H,H,H,NA
128,3DD.003DA28A6F,Hat. Summer Steelhead,32H,Mark,540,NA,AD CW MA RF,NA,8/16/2021 12:33,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,8/16/2021 12:33,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,33-2,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,R.1,H,H,H,NA
